type,category,date,title,review,star
SK매직 MWO-20MC9,별점,20181223,최악이에요,"데우기 용도로 구입했으나 흔히 사용되고 흔히 볼수 있는 30초, 1분 등의 단번 조정기능이 없고 분단위 눈금만으로 시간을 대략 조정해야만 하므로 단기 데우기용으로 사용하기는 무리다, 아무래도 장시간 조리용으로 나온것 같다, 이런 흔하지 않은 특성의 렌지를 판매시에 상세히 밝혀 놓아도 부족할판에 그런 내용도 숨겨놓고 판매하곤 반품도 않된다니 판매자가 고의로 이렇게 판매하려는 술책이 아니었나 의심스럽다",평점1
SK매직 MWO-20MC9,별점,20190104,최고예요,크기가 ？ㄱ않아 자리차지하지않고 깔끔하네요손잡이가 있어 음식하다 버튼누르느라 주변이 더러원지지도 않고 열기쉽습니다.기존에 비싼 버튼식 여러기능이 있는 렌지를 썼는데 버튼이 고장나고 해동ㆍ데우기외에 쓰는게 없어 본기능에 충실한 제품을 골랐습니다,평점5
SK매직 MWO-20MC9,별점,20190810,"롯데택배는 어디서나 문제네요. 전화도 없고, 고객이 받았다고 맘대로 고객 인수등록하고. 자취하는 아들 ...","롯데택배는 어디서나 문제네요. 전화도 없고, 고객이 받았다고 맘대로 고객 인수등록하고.자취하는 아들 집 주소로 적었기에 잘 받았나 파손은 없었나 조마조마하면서 배송상황을 수시로 체크하는데 아들은 전화도 없고 안 받았다는데 제가 확인한 배송상황은 받았다 하고.택배기사 전화번호도 없고. 퇴근해서 집에 들렀을 때는 없었는데 외출후 와 보니 현관앞에 놓여있었답니다.배송회사가 롯데택배이면 절대 주문 안하렵니다.",평점5
SK매직 MWO-20MC9,별점,20190209,일단 배송이 매우 빨랐습니다. 주문한 뒤 바로 다음날왔,일단 배송이 매우 빨랐습니다. 주문한 뒤 바로 다음날왔어요. 집에서 전자레인지 자주 사용 할 것 같진 않아서 저렴한 전자레인지로 구매했는데 구매해보니 자주사용하게 되네요ㅋㅋ삶의 질이 달라졌다고 해야될까요..ㅋㅋ 약간 아쉬운건 초단위로는 설정이되지 않아서 감으로 맞춰놔야되는점입니다ㅋ,평점5
SK매직 MWO-20MC9,별점,20210831,빠른배송 같은제품2개 쓰는중입니다,빠른배송 같은제품2개 쓰는중입니다,평점5
SK매직 MWO-20MC9,별점,20201230,가격대비 너무 이쁘네요. 딱 필요한 기능만 있고 색상도 이뻐서 마음에 쏙들어요,가격대비 너무 이쁘네요. 딱 필요한 기능만 있고 색상도 이뻐서 마음에 쏙들어요,평점5
SK매직 MWO-20MC9,별점,20211001,좋아요 온갖 음식을 다 데워먹는 중,좋아요 온갖 음식을 다 데워먹는 중,평점5
SK매직 MWO-20MC9,별점,20211007,재구매 의사 있습니다. 수고하세요.,재구매 의사 있습니다. 수고하세요.,평점5
SK매직 MWO-20MC9,별점,20211007,배송도 빠르고 디자인도 깔끔해요,배송도 빠르고 디자인도 깔끔해요,평점5
SK매직 MWO-20MC9,별점,20211008,빠른배송 감사합니다,빠른배송 감사합니다,평점5
SK매직 MWO-20MC9,별점,20210831,갑자기쓰던 던자레인지고장나서급히 주문했는데 벌써1달이지,갑자기쓰던 던자레인지고장나서급히 주문했는데 벌써1달이지났네요 저렴하게 잘구입해서 잘사용하고있어요 감사합니다,평점5
SK매직 MWO-20MC9,별점,20210115,"택배박스 찢어짐, 다이얼 및 본체에 스크레치 있는채로 왔어요.. 참.. 중고품도 아니고...","택배박스 찢어짐, 다이얼 및 본체에 스크레치 있는채로 왔어요.. 참.. 중고품도 아니고...",평점1
SK매직 MWO-20MC9,별점,20210913,아주 잘사용합니다 좋아요,아주 잘사용합니다 좋아요,평점5
SK매직 MWO-20MC9,별점,20210909,빠르게 배송되었네요,빠르게 배송되었네요,평점5
SK매직 MWO-20MC9,별점,20210901,고민하다 샀어요 써봐야 알겠지만 고장안나고 오래쓸 수 잇길 바랍니다,고민하다 샀어요 써봐야 알겠지만 고장안나고 오래쓸 수 잇길 바랍니다,평점5
SK매직 MWO-20MC9,별점,20210805,디자인도 깔끔하고 괜찮아요,디자인도 깔끔하고 괜찮아요,평점4
SK매직 MWO-20MC9,별점,20210731,15년된 전자레인지가 갑자기고장나서 구입하게됐어요 매장,15년된 전자레인지가 갑자기고장나서 구입하게됐어요 매장에서보고 가격비교하니 역시 저렴하게 잘샀어요 더운날씨에 빠른배송해주셔서 불사용안하게 잘사용할수있을것같아요 감사합니다,평점5
SK매직 MWO-20MC9,별점,20210706,디자인 깔끔하고 성능도 괜찮은거 같아요만족이요,"디자인 깔끔하고 성능도 괜찮은거 같아요
만족이요",평점4
